NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
NEUROMUSCULAR JUNCTION DEVELOPMENT	NEUROMUSCULAR JUNCTION DEVELOPMENT		18	0.29083282	0.92622465	0.5836735	0.72600657	1	646	"tags=28%, list=13%, signal=32%"
PROTEIN TARGETING	PROTEIN TARGETING		24	0.26564085	0.9259103	0.5767717	0.72415423	1	755	"tags=29%, list=15%, signal=34%"
CAJAL BODY	CAJAL BODY		30	0.34878123	0.9230132	0.57028115	0.72667605	1	1234	"tags=40%, list=24%, signal=53%"
DISORDERED DOMAIN SPECIFIC BINDING	DISORDERED DOMAIN SPECIFIC BINDING		18	0.32502475	0.9214029	0.55284554	0.72717094	1	364	"tags=17%, list=7%, signal=18%"
REGULATION OF GROWTH	REGULATION OF GROWTH		29	0.25094795	0.92046624	0.61857706	0.7263216	1	262	"tags=14%, list=5%, signal=14%"
"DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY, RNA POLYMERASE II-SPECIFIC"	"DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY, RNA POLYMERASE II-SPECIFIC"		29	0.3113937	0.9182025	0.5508982	0.72799224	1	106	"tags=7%, list=2%, signal=7%"
BASAL PLASMA MEMBRANE	BASAL PLASMA MEMBRANE		18	0.32317334	0.9164124	0.5947581	0.728686	1	956	"tags=44%, list=19%, signal=55%"
G1/S TRANSITION OF MITOTIC CELL CYCLE	G1/S TRANSITION OF MITOTIC CELL CYCLE		15	0.3072806	0.9120272	0.5962264	0.73398924	1	261	"tags=13%, list=5%, signal=14%"
CELL LEADING EDGE	CELL LEADING EDGE		43	0.23056929	0.9029356	0.62124246	0.7478078	1	505	"tags=16%, list=10%, signal=18%"
NUCLEAR INNER MEMBRANE	NUCLEAR INNER MEMBRANE		19	0.33715728	0.90206426	0.60662526	0.7470003	1	902	"tags=37%, list=18%, signal=45%"
ANCHORED COMPONENT OF MEMBRANE	ANCHORED COMPONENT OF MEMBRANE		43	0.31730157	0.8980662	0.5691383	0.7517173	1	426	"tags=14%, list=8%, signal=15%"
UBIQUITIN PROTEIN LIGASE BINDING	UBIQUITIN PROTEIN LIGASE BINDING		137	0.2078124	0.8966169	0.61770624	0.75191414	1	561	"tags=10%, list=11%, signal=11%"
ATPASE ACTIVITY	ATPASE ACTIVITY		96	0.24140887	0.89659745	0.6437008	0.7495141	1	191	"tags=6%, list=4%, signal=6%"
PRECATALYTIC SPLICEOSOME	PRECATALYTIC SPLICEOSOME		16	0.39395735	0.894724	0.6195219	0.75037926	1	3084	"tags=100%, list=61%, signal=254%"
UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY	UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY		81	0.2514866	0.89242655	0.64522415	0.7521547	1	175	"tags=7%, list=3%, signal=8%"
NEGATIVE REGULATION OF ERK1 AND ERK2 CASCADE	NEGATIVE REGULATION OF ERK1 AND ERK2 CASCADE		28	0.27559707	0.8900454	0.62	0.75388753	1	575	"tags=21%, list=11%, signal=24%"
CARBOHYDRATE METABOLIC PROCESS	CARBOHYDRATE METABOLIC PROCESS		65	0.23038343	0.88840365	0.60076773	0.75448835	1	717	"tags=22%, list=14%, signal=25%"
REGULATION OF ENDOCYTOSIS	REGULATION OF ENDOCYTOSIS		16	0.31359065	0.87812597	0.5873016	0.77060604	1	228	"tags=13%, list=4%, signal=13%"
EXTRINSIC COMPONENT OF MEMBRANE	EXTRINSIC COMPONENT OF MEMBRANE		29	0.25958276	0.87710625	0.6780303	0.7699778	1	694	"tags=21%, list=14%, signal=24%"
NUCLEOSOME ASSEMBLY	NUCLEOSOME ASSEMBLY		21	0.32254067	0.87633187	0.588	0.7688581	1	925	"tags=29%, list=18%, signal=35%"
"RNA PHOSPHODIESTER BOND HYDROLYSIS, ENDONUCLEOLYTIC"	"RNA PHOSPHODIESTER BOND HYDROLYSIS, ENDONUCLEOLYTIC"		17	0.3094673	0.873168	0.63531667	0.77229035	1	2763	"tags=94%, list=54%, signal=206%"
U12-TYPE SPLICEOSOMAL COMPLEX	U12-TYPE SPLICEOSOMAL COMPLEX		16	0.34419417	0.87008286	0.5950096	0.7753567	1	3336	"tags=100%, list=66%, signal=290%"
ENDOSOME TO LYSOSOME TRANSPORT	ENDOSOME TO LYSOSOME TRANSPORT		27	0.25802758	0.8685048	0.68292683	0.77569336	1	15	"tags=4%, list=0%, signal=4%"
CELLULAR RESPONSE TO STARVATION	CELLULAR RESPONSE TO STARVATION		26	0.25498882	0.8669787	0.68849206	0.77604717	1	389	"tags=12%, list=8%, signal=12%"
NUCLEOTIDE METABOLIC PROCESS	NUCLEOTIDE METABOLIC PROCESS		16	0.3451217	0.86404854	0.5968064	0.7789151	1	408	"tags=25%, list=8%, signal=27%"
CELLULAR RESPONSE TO AMINO ACID STARVATION	CELLULAR RESPONSE TO AMINO ACID STARVATION		16	0.3051421	0.85798365	0.66202784	0.7869873	1	630	"tags=19%, list=12%, signal=21%"
INTEGRAL COMPONENT OF ENDOPLASMIC RETICULUM MEMBRANE	INTEGRAL COMPONENT OF ENDOPLASMIC RETICULUM MEMBRANE		29	0.28969824	0.8538423	0.6533865	0.79208463	1	1050	"tags=38%, list=21%, signal=48%"
RHO PROTEIN SIGNAL TRANSDUCTION	RHO PROTEIN SIGNAL TRANSDUCTION		30	0.24658786	0.8504185	0.7063655	0.79555935	1	458	"tags=13%, list=9%, signal=15%"
PROTEIN COMPLEX OLIGOMERIZATION	PROTEIN COMPLEX OLIGOMERIZATION		19	0.26901913	0.8490398	0.6983471	0.79552996	1	588	"tags=16%, list=12%, signal=18%"
POSITIVE REGULATION OF ATPASE ACTIVITY	POSITIVE REGULATION OF ATPASE ACTIVITY		27	0.24028409	0.8484147	0.6930502	0.7941922	1	911	"tags=33%, list=18%, signal=40%"
RESPONSE TO OXIDATIVE STRESS	RESPONSE TO OXIDATIVE STRESS		53	0.20568043	0.8483973	0.7561905	0.7917762	1	698	"tags=21%, list=14%, signal=24%"
IRON-SULFUR CLUSTER BINDING	IRON-SULFUR CLUSTER BINDING		26	0.27812898	0.8468102	0.6741803	0.79208124	1	858	"tags=27%, list=17%, signal=32%"
PHOSPHOTYROSINE RESIDUE BINDING	PHOSPHOTYROSINE RESIDUE BINDING		17	0.274517	0.84631485	0.69961977	0.7904857	1	706	"tags=29%, list=14%, signal=34%"
CELL POPULATION PROLIFERATION	CELL POPULATION PROLIFERATION		61	0.21750203	0.83214384	0.7234849	0.8120522	1	1071	"tags=30%, list=21%, signal=37%"
SITE OF DOUBLE-STRAND BREAK	SITE OF DOUBLE-STRAND BREAK		22	0.30014387	0.8236982	0.66859347	0.823637	1	171	"tags=9%, list=3%, signal=9%"
U4/U6 X U5 TRI-SNRNP COMPLEX	U4/U6 X U5 TRI-SNRNP COMPLEX		27	0.33089244	0.81808686	0.6798419	0.83024794	1	3407	"tags=100%, list=67%, signal=302%"
ENDOSOME MEMBRANE	ENDOSOME MEMBRANE		80	0.20228966	0.8147286	0.78612715	0.8333233	1	770	"tags=19%, list=15%, signal=22%"
"4 IRON, 4 SULFUR CLUSTER BINDING"	"4 IRON, 4 SULFUR CLUSTER BINDING"		16	0.2818613	0.80770963	0.74693877	0.8425048	1	621	"tags=19%, list=12%, signal=21%"
AUTOPHAGY	AUTOPHAGY		64	0.20455742	0.80605847	0.7654321	0.8426716	1	267	"tags=6%, list=5%, signal=7%"
CELLULAR RESPONSE TO GLUCOSE STARVATION	CELLULAR RESPONSE TO GLUCOSE STARVATION		15	0.27962717	0.8009946	0.7393075	0.8484427	1	713	"tags=27%, list=14%, signal=31%"
MOLECULAR ADAPTOR ACTIVITY	MOLECULAR ADAPTOR ACTIVITY		32	0.22928607	0.7997016	0.80777097	0.84811074	1	690	"tags=16%, list=14%, signal=18%"
HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION	HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION		22	0.24380088	0.79314256	0.7718941	0.85649645	1	689	"tags=27%, list=14%, signal=31%"
PYRIDOXAL PHOSPHATE BINDING	PYRIDOXAL PHOSPHATE BINDING		16	0.28501394	0.7925746	0.7335984	0.8548738	1	1235	"tags=50%, list=24%, signal=66%"
HELICASE ACTIVITY	HELICASE ACTIVITY		60	0.30180937	0.788041	0.67524755	0.8595001	1	13	"tags=3%, list=0%, signal=3%"
PROTEIN SECRETION	PROTEIN SECRETION		22	0.26647133	0.78049934	0.7809331	0.8689962	1	411	"tags=18%, list=8%, signal=20%"
POSITIVE REGULATION OF CATALYTIC ACTIVITY	POSITIVE REGULATION OF CATALYTIC ACTIVITY		26	0.22414805	0.77733487	0.8032787	0.8716245	1	402	"tags=12%, list=8%, signal=12%"
PHOSPHATIDYLINOSITOL-MEDIATED SIGNALING	PHOSPHATIDYLINOSITOL-MEDIATED SIGNALING		21	0.24060234	0.76947343	0.8279352	0.88103473	1	888	"tags=33%, list=17%, signal=40%"
NF-KAPPAB BINDING	NF-KAPPAB BINDING		17	0.27392414	0.76033723	0.7819253	0.8921677	1	65	"tags=6%, list=1%, signal=6%"
REGULATION OF CELL GROWTH	REGULATION OF CELL GROWTH		19	0.23918709	0.7566232	0.84368736	0.895106	1	606	"tags=26%, list=12%, signal=30%"
PHOSPHATIDYLINOSITOL BINDING	PHOSPHATIDYLINOSITOL BINDING		43	0.2471073	0.75535154	0.82191783	0.89438534	1	900	"tags=30%, list=18%, signal=36%"
CELLULAR RESPONSE TO UV	CELLULAR RESPONSE TO UV		23	0.25272447	0.7549795	0.8408163	0.89230067	1	546	"tags=17%, list=11%, signal=19%"
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND	CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND		26	0.2238859	0.7547682	0.8153242	0.89000875	1	426	"tags=15%, list=8%, signal=17%"
RHO GTPASE BINDING	RHO GTPASE BINDING		22	0.24881743	0.75462395	0.80353636	0.8876178	1	480	"tags=18%, list=9%, signal=20%"
MISFOLDED PROTEIN BINDING	MISFOLDED PROTEIN BINDING		15	0.26109612	0.7542976	0.7770961	0.88554263	1	611	"tags=13%, list=12%, signal=15%"
"MRNA CIS SPLICING, VIA SPLICEOSOME"	"MRNA CIS SPLICING, VIA SPLICEOSOME"		20	0.26936772	0.7524261	0.75149107	0.8856413	1	3716	"tags=100%, list=73%, signal=371%"
RNA POLYMERASE II TRANSCRIPTION FACTOR COMPLEX	RNA POLYMERASE II TRANSCRIPTION FACTOR COMPLEX		17	0.23851678	0.7401348	0.8330059	0.9006074	1	726	"tags=18%, list=14%, signal=21%"
BICELLULAR TIGHT JUNCTION	BICELLULAR TIGHT JUNCTION		42	0.20966566	0.732205	0.85858583	0.9090066	1	3	"tags=2%, list=0%, signal=2%"
UBIQUITIN PROTEIN LIGASE ACTIVITY	UBIQUITIN PROTEIN LIGASE ACTIVITY		71	0.20190768	0.71771634	0.88095236	0.9261175	1	253	"tags=6%, list=5%, signal=6%"
COP9 SIGNALOSOME	COP9 SIGNALOSOME		26	0.23389746	0.71310914	0.78352493	0.92944425	1	155	"tags=8%, list=3%, signal=8%"
RESPONSE TO ENDOPLASMIC RETICULUM STRESS	RESPONSE TO ENDOPLASMIC RETICULUM STRESS		30	0.19231471	0.69112647	0.9080235	0.9545422	1	1188	"tags=40%, list=23%, signal=52%"
RESPONSE TO CAMP	RESPONSE TO CAMP		17	0.22143282	0.68176025	0.93265307	0.96317565	1	883	"tags=29%, list=17%, signal=35%"
"NEGATIVE REGULATION OF MRNA SPLICING, VIA SPLICEOSOME"	"NEGATIVE REGULATION OF MRNA SPLICING, VIA SPLICEOSOME"		21	0.255069	0.6810291	0.7995992	0.9613572	1	1263	"tags=43%, list=25%, signal=57%"
GLYCOLYTIC PROCESS	GLYCOLYTIC PROCESS		15	0.22048117	0.6792237	0.8467742	0.96072644	1	1385	"tags=47%, list=27%, signal=64%"
NEGATIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	NEGATIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS		19	0.2115323	0.6787682	0.91093117	0.9586175	1	320	"tags=11%, list=6%, signal=11%"
MITOCHONDRIAL INTERMEMBRANE SPACE	MITOCHONDRIAL INTERMEMBRANE SPACE		38	0.19705576	0.6786176	0.93359375	0.9561344	1	1343	"tags=42%, list=26%, signal=57%"
CELLULAR PROTEIN MODIFICATION PROCESS	CELLULAR PROTEIN MODIFICATION PROCESS		15	0.24069303	0.673276	0.9005848	0.9594002	1	98	"tags=7%, list=2%, signal=7%"
TRANSCRIPTION REGULATORY REGION DNA BINDING	TRANSCRIPTION REGULATORY REGION DNA BINDING		50	0.20500475	0.6682957	0.9083503	0.962548	1	1000	"tags=28%, list=20%, signal=35%"
SINGLE-STRANDED DNA BINDING	SINGLE-STRANDED DNA BINDING		49	0.21693665	0.6633531	0.8253359	0.96507925	1	171	"tags=6%, list=3%, signal=6%"
NUCLEAR BODY	NUCLEAR BODY		103	0.168955	0.66017395	0.9429735	0.9657123	1	492	"tags=12%, list=10%, signal=13%"
GLUTATHIONE METABOLIC PROCESS	GLUTATHIONE METABOLIC PROCESS		21	0.20169468	0.6534503	0.9404255	0.9700773	1	813	"tags=24%, list=16%, signal=28%"
RESPONSE TO INSULIN	RESPONSE TO INSULIN		31	0.20053664	0.6473563	0.9468504	0.97358006	1	734	"tags=23%, list=14%, signal=26%"
RRNA PROCESSING	RRNA PROCESSING		55	0.22509307	0.64077604	0.83625734	0.9773794	1	368	"tags=9%, list=7%, signal=10%"
STEM CELL POPULATION MAINTENANCE	STEM CELL POPULATION MAINTENANCE		28	0.22007339	0.63010365	0.89215684	0.9845321	1	286	"tags=7%, list=6%, signal=8%"
ENDOPLASMIC RETICULUM TO GOLGI VESICLE-MEDIATED TRANSPORT	ENDOPLASMIC RETICULUM TO GOLGI VESICLE-MEDIATED TRANSPORT		60	0.18738711	0.62433755	0.92047715	0.9867252	1	903	"tags=25%, list=18%, signal=30%"
DNA DUPLEX UNWINDING	DNA DUPLEX UNWINDING		31	0.25020063	0.62138605	0.82703775	0.986512	1	136	"tags=6%, list=3%, signal=7%"
TRANSCRIPTIONAL REPRESSOR COMPLEX	TRANSCRIPTIONAL REPRESSOR COMPLEX		19	0.21912676	0.60976666	0.91067964	0.99340814	1	3970	"tags=100%, list=78%, signal=456%"
HEAT SHOCK PROTEIN BINDING	HEAT SHOCK PROTEIN BINDING		40	0.15466426	0.60553455	0.9777328	0.99412054	1	768	"tags=18%, list=15%, signal=20%"
TRANSCRIPTION COREPRESSOR ACTIVITY	TRANSCRIPTION COREPRESSOR ACTIVITY		62	0.17743912	0.60260695	0.9218437	0.9936006	1	758	"tags=16%, list=15%, signal=19%"
REGULATION OF CELL CYCLE	REGULATION OF CELL CYCLE		44	0.18784627	0.6018317	0.9302326	0.9915132	1	152	"tags=7%, list=3%, signal=7%"
SPLICEOSOMAL COMPLEX	SPLICEOSOMAL COMPLEX		117	0.2117473	0.59715456	0.8082192	0.9923016	1	3576	"tags=97%, list=70%, signal=319%"
DNA REPAIR	DNA REPAIR		107	0.18798307	0.59289455	0.90335304	0.9927234	1	406	"tags=7%, list=8%, signal=7%"
U1 SNRNP	U1 SNRNP		15	0.2558678	0.58533484	0.8852773	0.995208	1	751	"tags=27%, list=15%, signal=31%"
PROTEIN GLYCOSYLATION	PROTEIN GLYCOSYLATION		24	0.19878003	0.57603335	0.97384304	0.99860764	1	837	"tags=25%, list=16%, signal=30%"
U2-TYPE PRECATALYTIC SPLICEOSOME	U2-TYPE PRECATALYTIC SPLICEOSOME		45	0.21478096	0.5657979	0.86470586	1	1	3549	"tags=98%, list=70%, signal=322%"
MITOCHONDRIAL NUCLEOID	MITOCHONDRIAL NUCLEOID		18	0.19221656	0.56506777	0.95841587	0.99993956	1	4106	"tags=100%, list=81%, signal=520%"
ATPASE BINDING	ATPASE BINDING		47	0.15148382	0.56219035	0.9861111	0.99879223	1	1171	"tags=30%, list=23%, signal=38%"
"MRNA SPLICING, VIA SPLICEOSOME"	"MRNA SPLICING, VIA SPLICEOSOME"		100	0.19180721	0.54837847	0.8416988	1	1	3576	"tags=96%, list=70%, signal=318%"
DNA REPLICATION	DNA REPLICATION		41	0.17715749	0.5397072	0.9697581	1	1	750	"tags=17%, list=15%, signal=20%"
AMINOACYL-TRNA LIGASE ACTIVITY	AMINOACYL-TRNA LIGASE ACTIVITY		22	0.19790442	0.5346241	0.9348269	1	1	4078	"tags=100%, list=80%, signal=505%"
PML BODY	PML BODY		23	0.18623057	0.5345106	0.99164927	1	1	871	"tags=22%, list=17%, signal=26%"
ENDONUCLEASE ACTIVITY	ENDONUCLEASE ACTIVITY		15	0.20829216	0.5288673	0.9508841	1	1	4024	"tags=100%, list=79%, signal=480%"
POLYSOME	POLYSOME		33	0.16187838	0.52550185	0.95670104	1	1	4262	"tags=100%, list=84%, signal=617%"
NUCLEAR MATRIX	NUCLEAR MATRIX		59	0.1635622	0.51900816	0.96456695	1	1	794	"tags=17%, list=16%, signal=20%"
MEIOTIC CELL CYCLE	MEIOTIC CELL CYCLE		21	0.19142503	0.5156731	0.9706458	0.9993325	1	125	"tags=5%, list=2%, signal=5%"
REGULATION OF RNA METABOLIC PROCESS	REGULATION OF RNA METABOLIC PROCESS		19	0.21161631	0.49939513	0.925	1	1	3391	"tags=95%, list=67%, signal=284%"
RIBONUCLEOPROTEIN COMPLEX	RIBONUCLEOPROTEIN COMPLEX		115	0.17615604	0.49935645	0.89065605	0.9994509	1	285	"tags=5%, list=6%, signal=5%"
TRNA AMINOACYLATION FOR PROTEIN TRANSLATION	TRNA AMINOACYLATION FOR PROTEIN TRANSLATION		18	0.197748	0.49628872	0.93621397	0.9977952	1	4078	"tags=100%, list=80%, signal=505%"
CYTOPLASMIC RIBONUCLEOPROTEIN GRANULE	CYTOPLASMIC RIBONUCLEOPROTEIN GRANULE		38	0.16203867	0.4913583	0.958	0.9965814	1	4262	"tags=100%, list=84%, signal=616%"
POTASSIUM ION TRANSPORT	POTASSIUM ION TRANSPORT		23	0.1502584	0.4580972	0.9901768	1	1	612	"tags=13%, list=12%, signal=15%"
MEMBRANE COAT	MEMBRANE COAT		22	0.16923688	0.45589608	0.9824903	0.999827	1	4223	"tags=100%, list=83%, signal=590%"
OVARIAN FOLLICLE DEVELOPMENT	OVARIAN FOLLICLE DEVELOPMENT		18	0.14322412	0.44941092	0.9980732	0.99829817	1	4354	"tags=100%, list=86%, signal=697%"
FIBRILLAR CENTER	FIBRILLAR CENTER		59	0.12957853	0.44044757	0.99811673	0.99719507	1	1068	"tags=24%, list=21%, signal=30%"
CATALYTIC STEP 2 SPLICEOSOME	CATALYTIC STEP 2 SPLICEOSOME		67	0.16484086	0.4152955	0.90448344	0.9977829	1	3808	"tags=97%, list=75%, signal=382%"
U2-TYPE CATALYTIC STEP 2 SPLICEOSOME	U2-TYPE CATALYTIC STEP 2 SPLICEOSOME		29	0.13275309	0.34591475	0.99415207	0.99912214	1	3764	"tags=97%, list=74%, signal=371%"
