pho_protein	iFOT_C_2_1	iFOT_C_2_3	iFOT_C_3_1	iFOT_C_3_2	iFOT_C_4_4	iFOT_C_4_5	iFOT_C_4_8	iFOT_C_5_3	iFOT_Z_1_3	iFOT_Z_1_4	iFOT_Z_2_10	iFOT_Z_2_11	iFOT_Z_4_12	iFOT_Z_5_6	iFOT_Z_5_7	iFOT_Z_6_3
Ppp1r9a	0.01	0.01	89.294434	0.01	0.01	0.01	0.01	87.725469	0.01	86.31677	0.01	0.01	0.01	0.01	0.01	0.01
Ppp1r9a	151.735	0.01	0.01	0.01	104.5167	0.01	144.0451	0.01	104.708831	0.01	93.845611	117.203731	110.608407	0.01	0.01	121.619226
Ppp1r9a	0.01	0.01	6.466949	0.01	0.01	0.01	0.01	5.41647	11.371774	0.01	7.676805	11.965598	9.023267	17.789238	11.09004	12.596348
Ppp1r9a	0.01	0.01	0.01	0.01	35.98613	0.01	0.01	0.01	0.01	31.470087	50.810145	38.210889	46.072904	25.793319	59.473952	0.01
Mios	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	164.139556	0.01
Mios	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Mios	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	164.139556	0.01
-	0.01	0.01	0.01	0.01	0.01	43.24362	0.01	0.01	69.559711	0.01	0.01	45.56833	0.01	0.01	0.01	62.438543
Smarcad1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	16.664612	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Smarcad1	0.01	0.01	0.01	0.01	0.01	25.67044	30.6934	0.01	0.01	33.132944	0.01	0.01	25.438721	0.01	17.996158	0.01
Smarcad1	0.01	0.01	0.01	82.733178	103.6977	63.39934	90.58783	92.319604	56.128963	0.01	78.631052	109.487779	99.083641	86.608707	91.659094	102.473791
Smarcad1	0.01	0.01	0.01	82.733178	0.01	63.39934	90.58783	92.319604	56.128963	0.01	78.631052	109.487779	99.083641	86.608707	91.659094	102.473791
Igf2bp3	0.01	0.01	23.227984	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Zfp638	0.01	0.01	35.352333	0.01	0.01	27.18214	56.99482	0.01	0.01	0.01	68.033512	43.532617	0.01	0.01	34.323065	47.348417
Zfp638	0.01	0.01	14.010959	0.01	12.36773	0.01	0.01	17.088928	9.559934	30.635899	15.010033	10.546747	0.01	8.946244	20.764315	11.789558
Prrt3	0.01	0.01	0.01	21.724108	0.01	0.01	0.01	0.01	0.01	19.283622	16.790015	44.079711	25.443188	0.01	14.505146	0.01
Prrt3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	41.636974	0.01	0.01	0.01	0.01	0.01	0.01
Prrt3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	41.636974	0.01	0.01	0.01	0.01	0.01	0.01
Prrt3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	16.298657	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Nr2c2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	23.383655	47.60325	0.01	0.01	0.01	0.01	0.01	45.000115
Usp5	254.8601	376.4728	260.993035	267.837732	283.4569	280.1163	316.3927	298.540251	0.01	383.823285	338.601552	294.877874	306.2359	280.504945	337.151145	264.886341
Usp5	0.01	0.01	40.059857	0.01	54.22489	0.01	36.48316	64.016166	46.708401	30.370255	50.629245	65.506158	0.01	0.01	0.01	76.99548
Usp5	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	29.656814	0.01	0.01	0.01	0.01	19.195345	0.01
Zyx	20.94664	0.01	21.533996	0.01	0.01	0.01	0.01	17.250273	0.01	0.01	16.677964	24.925912	12.756373	14.715378	0.01	14.520902
Zyx	0.01	0.01	92.890334	0.01	92.21659	122.1904	0.01	88.926125	120.636068	158.495806	107.008161	95.513408	104.099403	104.97156	87.090763	101.826489
Mob1a	0.01	18.96736	0.01	0.01	0.01	0.01	40.51255	0.01	0.01	0.01	0.01	0.01	16.366956	0.01	15.41533	0.01
Iqsec3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	372.97178	0.01	0.01	0.01	0.01	214.080319	310.458446	0.01
Iqsec3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	39.155328	0.01
Chrm2	0.01	0.01	0.01	0.01	17.33596	0.01	0.01	19.358232	27.731496	0.01	0.01	0.01	18.959071	16.779675	0.01	22.331892
Cd207	0.01	181.8661	0.01	237.338907	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Srgap3	38.75103	62.0178	62.236524	0.01	56.10095	55.87028	77.28052	55.302499	0.01	41.939877	56.279691	59.568259	51.669371	50.278796	69.079981	79.811574
Srgap3	169.2777	113.7161	67.287886	106.227265	91.1919	0.01	0.01	0.01	0.01	0.01	77.773799	129.340642	91.177114	89.240166	124.431294	134.832179
Srgap3	58.58972	91.87046	69.562439	59.644473	47.16727	58.51267	59.8608	66.331568	33.463003	72.461928	76.714045	85.352113	79.537483	90.287014	94.368058	78.45024
Srgap3	27.31028	61.77309	0.01	43.866922	28.66567	43.59423	0.01	34.395776	30.799124	57.102235	39.784653	49.023585	28.93763	42.777345	40.304374	48.432813
Srgap3	0.01	198.517	0.01	307.262578	0.01	0.01	0.01	0.01	0.01	0.01	311.729698	501.509289	397.961813	0.01	268.222281	0.01
Srgap3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	54.98813	0.01	0.01	0.01	0.01	0.01	0.01
Srgap3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	23.921029	0.01	16.83389	0.01	16.136588	0.01	0.01	0.01
Srgap3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	37.222391	0.01	0.01	0.01	0.01
Washc2	100.1482	0.01	0.01	0.01	0.01	0.01	76.34201	0.01	0.01	0.01	86.042581	0.01	0.01	0.01	0.01	0.01
Washc2	32.16824	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	16.979312
Washc2	59.2969	52.53088	45.338944	48.724847	119.7919	58.44141	68.91485	63.191631	0.01	30.384055	54.474059	45.606323	58.315575	34.109304	41.591306	38.977544
Washc2	36.30379	37.60844	38.151644	33.115729	0.01	0.01	54.10572	36.43354	39.109018	34.121689	25.687899	0.01	29.378583	0.01	27.189227	0.01
Washc2	0.01	87.04478	0.01	150.33399	91.66615	60.93747	86.47961	95.767563	56.135428	0.01	103.106646	87.528053	87.686501	66.906463	83.692371	0.01
Washc2	28.39997	0.01	28.357655	43.192236	31.23026	0.01	40.44634	0.01	0.01	43.097667	35.794713	0.01	0.01	32.795008	40.053673	0.01
Podxl2	0.01	0.01	0.01	0.01	183.2637	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Podxl2	0.01	0.01	129.596418	0.01	0.01	0.01	0.01	114.167156	0.01	0.01	191.403736	0.01	0.01	246.84808	230.958353	203.185854
Wipf3	195.4039	164.6713	116.589971	130.721485	259.1633	159.3036	221.7113	156.032986	182.886636	202.523568	203.506532	213.981257	187.931552	256.613877	182.684471	199.775845
Wipf3	33.78147	0.01	42.399217	59.735827	50.30706	0.01	37.65288	59.514227	41.754218	43.36055	47.410832	45.16699	52.148613	62.075907	35.954014	56.472027
Wipf3	80.79549	0.01	0.01	0.01	0.01	0.01	0.01	0.01	78.386145	33.502775	0.01	0.01	44.750044	44.841642	0.01	0.01
Wipf3	0.01	0.01	33.185792	83.584861	0.01	0.01	0.01	53.379982	71.95634	0.01	94.615114	82.084749	75.44702	57.881347	71.073751	53.050673
Wipf3	0.01	0.01	59.678439	0.01	0.01	0.01	0.01	43.431085	76.101588	59.014865	61.040485	54.932471	0.01	0.01	67.575078	0.01
Wipf3	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.76983	23.987149	0.01	29.97569	23.687072	0.01
Gcfc2	32.60147	21.45983	0.01	0.01	0.01	0.01	0.01	19.004112	0.01	23.542882	18.553121	31.468929	20.350211	14.233541	24.907847	21.308222
Tmcc1	0.01	0.01	0.01	43.185575	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Tmcc1	46.80298	52.20201	41.609829	52.056403	0.01	0.01	0.01	40.43049	70.987918	0.01	0.01	0.01	0.01	0.01	89.284398	0.01
Tmcc1	76.07045	51.58569	49.041956	37.436951	46.66254	38.90044	48.03745	44.668411	55.504661	59.61722	42.947715	61.63782	45.263745	62.296749	64.030444	52.995286
Aplf	16.63252	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	22.079645
Rbsn	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	21.303757	0.01	0.01	0.01	15.989157	10.561687
Rbsn	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	8.570269	0.01	0.01	17.946347	0.01	16.91884	0.01
Rbsn	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	21.303757	0.01	17.946347	0.01	16.91884	0.01
Rbsn	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	9.075005	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Resf1	0.01	13.69628	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	18.215864	21.213488	12.087183
Ccp110	39.68346	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ccp110	39.68346	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Efl1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Numa1	41.35148	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Numa1	0.01	76.00282	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Numa1	30.66661	0.01	42.802462	0.01	0.01	38.76932	0.01	42.207379	0.01	34.979336	45.135399	0.01	0.01	0.01	0.01	0.01
Numa1	0.01	0.01	61.879184	76.927458	72.51412	69.60197	48.70377	62.74217	51.859429	68.936119	0.01	62.192512	65.791997	0.01	52.52814	54.847101
Numa1	234.1722	0.01	144.997131	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	131.687682	0.01	257.899491
Numa1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	168.3625	0.01	0.01	0.01	0.01
Numa1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.136737	0.01	0.01	20.301911	0.01
Coro1a	460.8261	435.1915	271.623218	0.01	308.2171	305.7801	394.3426	383.466282	166.248169	272.53606	257.304239	219.417653	264.699518	284.190422	255.875253	189.732666
Rbbp6	144.3182	151.8787	159.623758	140.979748	162.6651	108.3371	131.4125	203.483023	0.01	188.572129	109.22892	126.43248	114.46914	112.901788	105.900307	92.477324
Rbbp6	33.3046	0.01	30.073246	0.01	0.01	0.01	0.01	0.01	31.888239	0.01	19.785676	0.01	0.01	0.01	23.165475	24.64883
Rbbp6	0.01	0.01	0.01	0.01	0.01	0.01	203.4771	0.01	0.01	0.01	0.01	0.01	114.526573	119.770829	96.652223	0.01
Sh2b1	93.40507	0.01	73.990031	67.862503	60.32733	53.78373	60.46826	59.516322	64.254943	91.229443	88.708841	58.325556	71.08854	81.539384	63.389067	69.127768
Fchsd2	0.01	0.01	30.685314	0.01	0.01	0.01	19.80436	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Fchsd2	0.01	0.01	0.01	0.01	27.74288	0.01	0.01	0.01	21.114186	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Fchsd2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.630585	0.01	17.231615	25.637949	0.01	19.448523	0.01	15.705725	20.934523
Fchsd2	23.93568	0.01	0.01	0.01	0.01	0.01	0.01	0.01	24.742894	39.930648	0.01	33.427966	51.809762	26.85379	37.424097	38.896798
Sec23ip	0.01	0.01	0.01	68.096597	0.01	0.01	0.01	54.276807	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Tgfb1i1	0.01	0.01	126.662091	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Tgfb1i1	0.01	15.84174	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.603257	0.01	0.01	0.01	0.01	0.01	34.112775
Atxn2l	0.01	0.01	87.355618	0.01	0.01	71.14978	0.01	119.342762	0.01	0.01	70.463521	0.01	0.01	89.598676	0.01	0.01
Atxn2l	93.16562	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	59.102399	0.01	0.01	0.01
Atxn2l	0.01	37.94509	32.610628	37.861365	35.70805	0.01	0.01	0.01	34.195785	0.01	39.173776	0.01	0.01	0.01	28.792321	0.01
Atxn2l	85.88681	74.48921	88.676965	0.01	60.30828	85.9694	79.95312	61.030239	90.620734	72.579225	0.01	73.208295	0.01	54.059636	47.405482	55.415659
Atxn2l	32.2494	0.01	66.25007	51.022964	62.36814	69.23236	53.28071	50.121655	35.874	50.31626	41.912936	46.085029	46.441109	43.485759	0.01	48.961999
Atxn2l	102.7395	0.01	98.686979	73.851882	0.01	0.01	0.01	92.421231	71.546844	58.568447	0.01	48.256134	50.59028	0.01	71.004112	44.782568
Atxn2l	0.01	0.01	0.01	0.01	0.01	28.48101	0.01	0.01	0.01	0.01	30.767293	0.01	0.01	0.01	0.01	0.01
Atxn2l	30.58443	0.01	0.01	0.01	0.01	38.29139	0.01	0.01	0.01	0.01	0.01	0.01	77.265713	0.01	0.01	22.678232
Atxn2l	0.01	0.01	0.01	0.01	42.45521	0.01	0.01	0.01	0.01	0.01	61.417136	0.01	0.01	0.01	54.120092	0.01
Atxn2l	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	232.507703	0.01	237.219218
Atxn2l	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	119.479948	84.683017
Fbxl19	0.01	0.01	0.01	0.01	0.01	0.01	0.01	41.189021	0.01	41.208495	0.01	0.01	78.063385	0.01	45.027304	0.01
Dlg2	46.25002	39.66586	0.01	47.94263	0.01	0.01	0.01	48.548019	0.01	0.01	38.840999	53.78993	40.013148	0.01	58.528252	49.693382
Dlg2	0.01	30.45991	85.12067	0.01	78.44705	39.12563	34.99184	33.528286	105.987608	57.416177	39.502502	133.057009	43.893663	95.549932	49.331701	81.493223
Dlg2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Dlg2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.01749	0.01	28.421377	0.01	18.053262	0.01
Tenm4	0.01	0.01	0.01	0.01	29.53323	39.03062	33.24934	30.002798	25.227824	0.01	0.01	36.937792	0.01	29.162591	28.804856	45.084197
Tenm4	0.01	0.01	0.01	20.684008	20.84239	11.01614	0.01	0.01	0.01	15.374873	0.01	13.250439	21.68009	11.989989	15.225215	14.718429
Tenm4	0.01	0.01	0.01	0.01	0.01	0.01	22.68085	0.01	0.01	0.01	0.01	0.01	56.078903	0.01	44.178402	0.01
Taf10	27.38536	0.01	25.384624	0.01	41.27719	0.01	0.01	30.755041	0.01	0.01	0.01	0.01	51.211827	70.72674	0.01	41.634816
Taf10	54.11325	43.6551	50.047368	85.056037	56.3876	0.01	59.23442	0.01	105.592481	80.665816	68.134762	88.239551	81.113683	75.236788	105.447652	70.595873
-	367.3398	0.01	0.01	0.01	0.01	330.1421	0.01	0.01	0.01	0.01	0.01	0.01	0.01	170.686338	0.01	0.01
-	0.01	0.01	352.27219	369.221345	0.01	0.01	474.0057	327.990914	0.01	154.017821	155.291097	211.770778	0.01	0.01	155.371983	0.01
Nucb2	0.01	0.01	0.01	0.01	21.8109	24.53215	27.94618	0.01	0.01	0.01	23.114114	0.01	24.641049	24.15278	0.01	19.090048
Stx1b	63.5471	0.01	63.37335	84.712509	75.16346	82.3588	72.90431	64.294852	52.417636	83.963931	70.639022	61.528678	62.104837	68.128263	71.004112	64.132204
Cd2bp2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Pgm2l1	0.01	0.01	462.417444	492.149215	0.01	0.01	0.01	367.761357	0.01	0.01	421.687621	0.01	0.01	0.01	590.1503	0.01
Pgm2l1	467.4515	562.301	11.062231	0.01	442.1128	476.3145	337.1072	0.01	476.380282	649.356025	17.658068	537.201614	517.102122	472.278807	0.01	402.19428
-	0.01	0.01	23.876956	27.977081	24.43834	0.01	0.01	0.01	0.01	33.28612	26.867803	35.448482	0.01	0.01	24.152262	0.01
-	0.01	0.01	0.01	0.01	0.01	0.01	24.88262	0.01	0.01	30.021124	0.01	45.184259	0.01	0.01	0.01	0.01
-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	50.997412	0.01	37.355155	0.01
-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	37.965268	0.01	0.01	0.01	0.01	0.01	0.01	26.678771	0.01
-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	37.965268	0.01	0.01	0.01	0.01	0.01	0.01	26.678771	0.01
Arfip2	52.68062	73.08048	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	97.888876	0.01	0.01	0.01	0.01	0.01
Arfip2	0.01	0.01	90.028016	0.01	0.01	0.01	82.88006	65.78572	56.202959	65.381331	0.01	62.91299	0.01	0.01	69.20951	0.01
Igf2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.060593	0.01	0.01	0.01	10.814077	0.01	0.01	0.01	0.01
Shank2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	13.351155	0.01	0.01	0.01	0.01	0.01	0.01
Shank2	0.01	0.01	0.01	17961.47654	0.01	0.01	0.01	0.01	0.01	0.01	10149.33902	0.01	0.01	0.01	0.01	0.01
Shank2	0.01	0.01	0.01	45.914768	0.01	0.01	47.36694	0.01	0.01	0.01	0.01	0.01	0.01	68.102451	82.041923	37.809732
Shank2	0.01	0.01	0.01	26.27657	33.51963	0.01	51.53506	0.01	42.208256	0.01	57.984748	49.793108	54.566516	0.01	0.01	41.39458
Shank2	21.46612	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	16.643765	33.197211
Shank2	0.01	0.01	0.01	0.01	0.01	43.42605	0.01	0.01	0.01	0.01	31.489546	0.01	73.54537	0.01	0.01	0.01
Shank2	36.37481	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	37.879121	0.01	38.491828	0.01	50.353308	0.01
Shank2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	14.489517	0.01	0.01
Shank2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	281.747322	0.01	0.01	0.01	0.01	152.468029	101.012358
Shank2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	273.30194	0.01	0.01	0.01	0.01	152.468029	101.012358
Shank2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	22.305113	18.209259	22.072708	0.01	0.01
Osbpl5	0.01	0.01	5.040561	3.381991	4.419985	3.040413	7.1805	6.590935	5.850979	5.496743	4.421604	8.888197	0.01	6.109001	17.700191	6.502308
Champ1	20.694	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Champ1	0.01	47.6327	29.890525	28.898232	23.46031	32.17807	27.4785	0.01	0.01	28.405876	0.01	0.01	0.01	14.486649	22.707945	21.563806
Champ1	0.01	32.40468	64.619089	0.01	52.22597	44.85129	0.01	35.610053	0.01	0.01	37.828495	0.01	55.274211	0.01	37.516021	0.01
Champ1	74.32836	0.01	36.787093	36.8422	36.62037	31.93198	34.7249	37.075776	38.972519	39.966528	33.285728	42.428759	42.540173	37.190334	33.215802	42.378878
Champ1	74.5536	0.01	0.01	0.01	0.01	0.01	0.01	0.01	70.439768	0.01	0.01	0.01	103.773953	0.01	59.493451	0.01
Champ1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	21.636544
Champ1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	54.666598	0.01	0.01	0.01	0.01	0.01	0.01
-	0.01	0.01	0.01	0.01	0.01	187.0482	0.01	0.01	0.01	0.01	0.01	0.01	0.01	94.352511	0.01	0.01
-	214.5192	315.6307	108.7681	101.269422	151.0469	0.01	111.7069	121.77341	241.286505	219.138339	190.532983	231.091744	141.76229	128.066737	288.640489	219.722065
-	0.01	132.1721	0.01	0.01	0.01	0.01	111.7069	0.01	0.01	84.985105	97.652625	144.558407	93.940251	128.066737	193.304447	131.675751
Elavl1	29.80318	0.01	0.01	28.374851	0.01	20.41796	0.01	0.01	25.725685	0.01	33.314078	32.603181	32.232973	32.048592	36.26948	36.480429
-	0.01	0.01	0.01	0.01	100.536	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	70.536878	0.01	124.31871	164.039677	87.383087	127.822722	0.01
Rasa3	0.01	0.01	53.39574	0.01	0.01	81.1673	101.7795	49.653336	0.01	32.384313	34.786934	0.01	0.01	0.01	0.01	36.732677
Myo16	10.57224	11.8165	11.572587	0.01	0.01	0.01	0.01	0.01	0.01	27.003142	0.01	0.01	0.01	10.999786	0.01	17.347006
Myo16	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.571622	0.01	24.138768	0.01	0.01	0.01	0.01	0.01
Myo16	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	14.419359	11.938364	60.276892	0.01
Myo16	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.000583	0.01	17.050401	0.01	0.01	0.01
Arhgef7	65.09844	0.01	143.493964	0.01	62.50337	113.4679	0.01	81.419402	0.01	84.115727	0.01	0.01	0.01	83.948567	0.01	0.01
Arhgef7	498.0927	509.3441	489.771487	475.734091	423.7045	461.6821	460.0279	525.931638	538.709875	594.957831	454.506247	539.48117	520.548065	488.74873	624.224753	553.989756
Arhgef7	18.76218	20.92249	17.817482	0.01	0.01	19.53811	25.34294	17.630585	26.933339	25.801883	26.391926	31.435772	19.367479	19.141535	24.194742	20.921843
Arhgef7	0.01	0.01	0.01	113.668788	0.01	0.01	0.01	48.566878	105.750532	0.01	0.01	249.107147	0.01	0.01	187.635817	0.01
Arhgef7	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	80.266123	0.01
Kbtbd11	84.29894	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	37.841387	0.01	0.01
Kbtbd11	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	34.881359	0.01	0.01	0.01	0.01	0.01	0.01
Hook3	0.01	0.01	0.01	0.01	0.01	97.0397	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Hook3	31.63252	0.01	0.01	0.01	0.01	0.01	0.01	0.01	47.275229	0.01	94.979615	38.261316	78.27397	0.01	0.01	38.680586
Purg	0.01	0.01	0.01	0.01	0.01	0.01	26.42438	0.01	0.01	31.635683	47.157031	0.01	0.01	0.01	63.300625	76.621781
Purg	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.01838	0.01	0.01	18.985946
Purg	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	39.782333
Purg	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.01838	0.01	0.01	18.985946
Slc7a2	0.01	0.01	0.01	0.01	16.39317	0.01	0.01	19.678826	24.430384	0.01	31.108845	27.454838	25.456589	34.161646	0.01	0.01
Mtmr7	0.01	35.6559	23.176678	31.655021	18.10353	32.36525	40.88354	27.819404	35.684339	35.952901	0.01	0.01	46.659352	0.01	43.016124	0.01
Mtmr7	0.01	45.61153	0.01	0.01	0.01	0.01	89.70187	36.190475	48.990083	74.035087	0.01	0.01	52.420459	32.800027	0.01	36.219507
Mtmr7	0.01	0.01	0.01	0.01	0.01	47.16873	0.01	0.01	37.423619	25.037383	28.126683	30.732563	27.945964	0.01	39.550878	28.247025
Sugp2	0.01	0.01	23.313494	0.01	27.97524	0.01	47.41949	28.126379	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Sugp2	87.39756	0.01	70.980096	72.320755	92.14993	0.01	0.01	0.01	68.053915	92.975098	0.01	86.353736	81.502947	48.062491	77.027901	63.230653
Sugp2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	80.900594	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Crtc1	134.4055	0.01	128.966347	0.01	150.7517	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Crtc1	101.0086	0.01	0.01	103.020368	113.4018	0.01	0.01	0.01	68.469159	0.01	109.37742	102.966866	77.814511	0.01	0.01	0.01
Crtc1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	82.803155	0.01	0.01	0.01	0.01
Med26	18.67493	0.01	45.255235	0.01	0.01	0.01	0.01	0.01	33.055662	0.01	0.01	39.594511	0.01	0.01	0.01	0.01
Nr2c2ap	0.01	0.01	0.01	0.01	0.01	0.01	46.57662	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Nr2c2ap	0.01	0.01	0.01	0.01	0.01	0.01	46.57662	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Nr2c2ap	0.01	0.01	0.01	0.01	0.01	0.01	46.57662	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Phldb1	0.01	40.31973	0.01	0.01	0.01	22.14345	32.55781	0.01	0.01	26.611923	17.412367	22.107551	21.837072	0.01	0.01	0.01
Cnn1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ncam1	150.0102	0.01	0.01	289.077475	294.7609	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	186.626049	159.923443
Ncam1	281.5646	318.8806	243.783121	268.142244	324.4827	232.4943	0.01	316.371993	557.869975	355.561615	0.01	309.69499	366.603727	354.745077	414.972933	312.519703
Smarca4	189.3771	108.6276	115.887892	102.782468	108.1355	87.86782	103.8047	129.547296	78.810009	98.039567	99.191631	97.696256	113.480027	64.845034	98.079827	86.331299
