protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
Entpd5	0.06	0.06	0.07	0.07	0.09	0.06	0.1	0.25	0.07	0.05	0.07	0.05	0.06	0.08	0.06	0.05
Ep400	0.35	0.17	0.09	0.05	0.11	0.02	0.24	0.05	0.12	0.02	0.14	0.01	0.07	0.04	0.02	0.08
Epm2aip1	12.09	13.27	8.02	10.02	12.78	5.82	19.22	17.04	12.24	3.33	13.27	4.79	9.65	8.78	9.24	8.18
Epn1	3.74	3.31	3.67	2.57	2.84	3.31	5.72	6.06	1.52	4.2	5.45	3.21	2.38	3.94	2.18	3.61
Eprs	2.35	3.04	4.06	3.33	3.07	1.84	4.85	3.05	3.52	3.02	3.5	2.22	2.8	3.01	2.66	3.64
Eps15	0.11	0.1	0.06	0.18	0.19	0.19	0.12	0.11	0.03	0.06	0.11	0.29	0.08	0.26	0.05	1.23
Erc1	3.59	6.36	3.58	4.9	5.44	5.62	5.81	5.21	3.51	3.1	5.31	3.15	4.18	5.15	4.53	5.14
Ergic1	1.59	4.68	4.24	7.12	2.92	3.26	7.09	8.25	3.19	1.28	4.53	2.45	1.53	2.84	4.42	4.11
Erh	147.9	157.3	227.95	178.82	129.6	168.24	115.43	175.92	177.35	176.5	136.01	172.05	144.07	133.76	145.73	137.98
Erlin2	3.5	7.06	3.95	3.34	5.39	1.16	5.57	6.69	6.64	3.8	4.63	2.01	3.84	3.24	4.05	3.92
Erp44	3.7	3.3	3.82	3.49	3.14	0.31	3.4	4.1	4.15	3.83	2.3	3.39	2.52	6.39	3.51	2.02
Esd	18	21.63	17.67	18.86	24.82	23.23	27.92	16.02	23.02	22.21	22.36	27.06	23.2	24.67	21.97	20.04
Etf1	4.36	4.4	4.68	3.43	2.81	4.55	5.53	6.46	5.55	1.8	3.83	2.78	4.36	4.9	2.13	6.64
Etfa	3.78	2.36	3.09	2.21	4.37	1.73	2.28	5.59	3.31	1.9	2.83	3.34	3.37	2.83	4.28	3.87
Etfb	0.95	1.71	2.11	1.49	1.06	1.56	0.34	1.05	1.48	3.02	1.16	5.05	2.17	2.04	2.55	0.95
Ewsr1	16.31	27.5	32.9	35.28	20.97	21.36	24.71	28.35	42.43	37.32	31.44	21.02	25.92	27.67	27.15	28.02
Exoc1	0.91	0.4	0.39	1	0.87	0.39	1.07	0.18	0.23	0.6	0.75	0.19	0.66	0.39	0.31	0.06
Exoc5	0.3	0.85	0.35	1.33	0.6	0.46	0.19	0.18	0.43	0.67	0.18	1.22	0.89	0.33	0.23	1.28
Exoc6b	0.35	0.36	0.24	0.47	0.42	0.32	0.32	0.26	0.17	0.32	0.46	0.1	0.14	0.38	0.26	0.25
Exoc7	0.85	0.58	0.13	0.16	0.86	0.28	1.35	1.14	0.25	0.45	0.18	0.18	0.28	0.58	0.3	1.19
Fabp5	480.72	506.4	631.11	633.3	580.58	456.04	501.18	515.44	617.53	552.64	567.82	630.15	341.14	603.05	485.24	631.17
Fadd	0.28	0.58	0.49	0.28	0.54	0.19	0.21	0.31	0.38	0.41	0.55	0.64	0.28	0.55	0.59	0.43
Faf1	1.23	1.07	1.34	1.52	1.79	0.68	2.99	1.33	0.45	0.83	2.12	0.35	1.19	1.05	1.2	1.56
Faf2	0.53	0.41	0.45	0.25	0.74	0.37	0.54	0.37	0.57	0.31	0.62	1.01	0.32	0.48	0.5	0.3
Fah	0.34	0.23	0.09	0.77	0.4	0.26	0.13	0.65	0.35	0.22	0.57	0.47	0.5	0.21	0.06	0.4
Faim	1.19	1.21	0.45	0.7	1.91	0.92	1.63	0.46	0.48	0.65	0.72	0.57	0.9	1.19	0.61	1.26
Fam129b	0.45	0.37	0.41	0.69	0.62	0.66	0.72	0.7	0.91	0.72	0.77	0.67	0.7	0.34	0.67	0.56
Fam136a	4.76	8.75	12.53	9.5	6.64	5.26	4.42	4.5	10.18	11.46	5.25	3.99	4.93	7.28	3.82	5.78
Fam177a	4.48	2.75	6.36	4.39	5.67	2.06	0.89	3.14	2.29	2.48	2.01	3.7	2.62	2.94	1.54	0.78
Gaa	1.13	0.86	1.9	0.68	2.4	1.17	2	1.61	0.63	0.68	0.75	0.45	1.26	0.6	0.68	0.82
Fam221a	0.22	0.19	0.14	0.15	0.15	0.14	0.09	0.08	0.15	0.11	0.1	0.24	0.09	0.12	0.31	0.09
Fam241b	7.85	6.92	11.23	7.33	9.33	9.81	12.97	13.26	4.96	10.98	8.97	4.94	8.75	8.66	10.01	7.82
Ndufc2	7.4	8.99	7.69	9.46	7.98	8.21	3.18	1.82	1.72	1.57	2.66	3.13	3.54	4.94	8.44	1.42
Ngef	1.46	2.08	1.13	1.85	2.35	1.57	3.28	2.25	2.21	0.72	1.23	0.66	0.77	0.32	0.72	1.37
Pld3	5.39	5.22	7.32	5.68	6.71	4.71	8.82	8.51	2.48	3.28	4.32	3.73	4.48	3.09	2.49	2.43
Fam65a	0.2	0.59	0.05	0.24	0.34	0.11	0.6	0.67	0.51	0.14	0.08	0.09	0.09	0.15	0.13	0.07
Fam98b	6.32	12.1	8.29	4.24	10.85	2.85	9.7	10.39	16.76	8.62	10.24	4.52	9.1	6.01	6.38	10.66
Pura	4.2	4.63	3.72	9.67	4.81	4	8.62	2.69	4.52	1.59	7.43	3.24	0.82	1.15	1.71	0.9
Farsa	4.89	6.36	5.02	6.93	5.33	4.31	7.77	4.55	4.48	6.29	5.8	5.02	6.41	3.01	3.24	3.17
Farsb	3.5	4.6	3.13	3.53	3.38	1.57	5.36	3.55	5.84	2.22	5.05	3.39	2.24	1.6	2.46	2.34
Nrbp1	2.2	2.33	1.27	1.77	1.8	1.58	2.4	1.94	1.12	0.81	1.11	0.97	0.78	1.67	0.56	0.72
Ubr3	0.07	0.08	0.08	0.12	0.19	0.04	0.09	0.12	0.12	0.05	0.08	0.02	0.06	0.02	0.01	0.04
Fbll1	2.01	3.2	2.2	1.43	1.02	0.65	2.41	1.23	3.35	0.15	3.08	0.29	2.49	0.22	1.09	2.35
Kif3a	2.23	2.53	1.23	3.46	2.81	2.98	3.26	3.33	0.98	1.13	1.98	1.36	1.55	1.61	1.34	1.13
Nefl	6.72	10.33	6.47	9.05	10.51	7.05	8.71	8.64	3.04	1.75	3.76	4.68	3.24	8.3	7.1	2.44
Fbxo22	3.23	2.39	2.55	3.8	5.02	2.09	5.51	4.81	3.98	1.41	2.85	1.34	4.75	2.55	1.47	2.79
Fbxo41	0.27	0.4	0.19	0.5	0.81	0.73	0.87	0.33	0.59	0.33	0.56	0.45	0.61	0.25	0.21	0.59
Kif1a	1.37	2.08	1.33	1.87	2.15	1.98	2.5	1.95	1.12	0.86	1.45	0.52	0.71	0.97	0.93	1.18
Agap2	1.66	0.94	1.49	2.37	1.81	1.03	1.72	1.65	0.46	0.98	1.21	0.42	1.08	0.86	0.55	0.89
Wasf1	8.45	5.31	6.35	7.37	5.5	5.4	7.1	6.98	3.54	4.31	3.17	4.63	2.68	2.71	3.35	2.34
Fat4	0.11	0.15	0.13	0.1	0.16	0.18	0.07	0.14	0.06	0.09	0.12	0.01	0.1	0.04	0.03	0.07
Fen1	1.19	0.27	1.31	1.08	1.9	0.17	1.38	1.33	1.92	0.13	1.67	0.19	1.47	0.37	1.15	0.4
Fermt2	0.93	0.91	0.4	2.22	1.15	1.74	1.44	1.63	1.02	0.8	2.06	1.4	2.01	1.53	1.12	1.59
Neo1	8.79	7.42	7.12	8.14	7.88	7.71	7.18	8.14	3.07	2.73	6.76	5.62	4.04	3.06	2.57	4
Nrxn2	2.21	1.71	4.75	3.83	4.13	3.6	3.88	2.87	1.21	1.03	0.85	2.87	1.57	2.48	2.52	1.25
Fam49a	18.57	27.82	20.32	18.52	20.28	15.78	24.07	22	12.47	10.53	16.52	7.72	10	8.19	8.29	11.82
Rph3a	1.6	1.44	1.11	1.64	2.26	2.3	1.01	0.91	0.93	0.72	0.77	0.33	1.15	1.04	0.69	0.66
Mark3	1.85	1.92	1.95	2.48	3.06	1.16	2.93	2.32	1.39	0.91	1.88	0.63	0.49	1.54	0.99	1.24
Cadm4	4.31	5.12	5.41	8.78	2.43	9.22	4.54	4.57	1.14	2.44	6.7	2.55	1.34	4.91	2.55	1.21
Fip1l1	1.73	4.43	3.81	8.8	1.02	1.63	1.84	3.95	1.02	3.35	2.02	2.62	1.2	1.52	0.66	0.16
Fis1	21.21	31.43	11.25	25.99	21.63	24.69	31.83	22.28	26.12	15.92	29.13	5.73	21.36	23.13	24.76	25.1
Atl1	6.3	5.66	1.96	4.74	6.83	4.1	5.23	5.49	3.31	1.7	3.2	2.09	2.09	2.95	2.73	2.7
Fkbp1a	161.29	187.61	187.48	178.81	180.66	94.67	206.34	227.86	136.91	255.5	174.68	135.37	135.85	115.45	135.86	179.54
Gda	7.23	8.53	5.54	10.36	15.85	6.88	8.36	5.48	4.58	6.05	9.04	3.61	3.04	0.74	1.81	6.31
Fkbp2	14.37	6.15	1.89	5.34	8.97	1.79	9.08	8.58	6.59	4.5	4.89	2.39	3.61	2.6	9.14	1.43
Fkbp3	43.35	44.08	54.55	63.03	39.75	37.14	38.58	47.02	45.45	45.32	38.17	58.48	37.45	57.19	50.97	33.01
Plxnb2	7.79	2.51	8.56	6.97	7.54	2.75	8.11	6.98	2.94	2.6	6.78	3.38	1.87	3.19	3.32	2.36
Adgrb1	0.2	0.43	0.17	0.15	0.3	0.13	0.22	0.27	0.1	0.13	0.32	0.06	0.11	0.05	0.06	0.13
Fkbp8	2.43	2.11	1.24	0.03	1.25	0.14	1.77	1.18	0.21	0.69	1.44	0.77	0.74	0.03	0.23	0.79
Rab4a	5.05	8.52	3.33	5.8	7.39	6.59	6.4	7.74	3.28	2.93	4.12	2.97	3.77	3	3.67	2.67
Rpl37a	11.29	12.61	12.86	15.94	11.79	3.53	21.14	19.86	5.42	3.2	3.9	3.39	6.29	8.79	10.88	14.83
Ppil4	0.64	0.91	0.73	0.22	0.78	0.1	0.83	0.82	0.42	0.1	0.35	0.12	0.63	0.3	0.34	0.34
Bag1	2.58	2.16	2.81	3.04	4.77	2.46	4.37	3.84	0.82	1.34	1.69	2.02	2.53	2.23	0.73	2.21
Vps37b	1.54	1.55	0.47	0.59	0.88	1.17	1.34	0.43	0.66	0.36	0.53	0.46	0.54	0.42	0.75	0.43
Fmn2	0.07	0.07	0.18	0.11	0.21	0.09	0.09	0.05	0.12	0.06	0.12	0.17	0.01	0.02	0.02	0.01
Fmnl2	0.79	0.73	0.58	0.94	1.03	0.65	0.85	0.59	3.21	0.79	1.1	0.46	0.66	0.45	0.59	0.7
Pcdhgc3	0.86	0.37	0.36	0.41	0.41	0.4	0.58	0.58	0.39	0.18	0.53	0.14	0.17	0.24	0.26	0.16
Rogdi	0.49	1.13	1.38	1.22	1.08	0.51	1.39	0.45	0.1	0.46	0.47	0.39	1.11	0.19	0.22	1.05
Fn3krp	2.08	0.3	1.61	0.97	0.28	1.03	0.61	1.32	1.36	0.58	0.17	0.75	1.34	0.53	0.97	1.2
Fnbp1	0.22	0.08	0.99	0.21	0.06	0.04	0.04	0.04	0.04	0.2	0.07	0.15	0.13	0.11	0.07	0.03
Fnbp1l	2.63	1.78	2.07	4.02	4.76	2.21	0.94	6.14	4.62	3.99	2.45	4.14	3.41	5.34	3.1	2.57
Srgap1	0.27	0.2	0.26	0.62	0.53	0.2	0.43	0.31	0.28	0.05	0.24	0.13	0.06	0.27	0.26	0.2
Terf2ip	2.04	1.41	2.48	2.02	0.41	0.63	0.86	1.31	1.06	1.6	0.42	0.6	0.08	0.92	0.59	0.6
Tanc2	6.57	5.51	5.33	6.57	7.87	4.54	10.6	7.11	4.37	4.25	6.1	3.09	3.98	3.26	3.41	0.06
Nptxr	1.4	1.11	2.88	1.89	1.59	2.66	0.67	2.05	0.87	0.34	0.55	2.5	0.72	1.03	0.8	0.72
Pcdh17	1.57	0.48	1.21	1.32	1.78	1.84	0.59	1.55	0.63	0.6	0.44	0.66	0.16	0.93	1.39	0.67
Fsd1	9.95	8.77	5.48	7.18	6.26	7.16	12.22	11.59	8.35	4.62	8.28	7.73	7.25	9.4	8.85	8.56
Fsd1l	0.93	3.32	2.86	2.62	3.45	2.04	2.16	3.35	2.5	1.45	1.58	2.28	1.01	2.08	2.09	2.02
Wdr7	1.04	1.09	0.6	1.07	1.33	0.99	1.49	0.71	0.76	0.26	0.95	0.42	0.32	0.74	0.37	0.59
Fubp1	37.88	41.97	57.25	45.06	53.21	38.23	54.56	52.58	44.17	67.29	53.36	48.97	41.69	53.09	46.25	44.62
Fubp3	0.89	0.5	0.47	0.67	0.18	0.09	0.58	1.4	1.53	2.81	0.91	0.52	0.93	0.28	0.17	1.03
Fus	269.04	261.93	283.93	308.57	232.31	291.82	222.78	217.41	287.81	304.68	293.04	318.55	233.44	237.03	177.62	204.82
Fxyd6	85.46	70.19	82.44	76.77	70.07	127.25	59.7	54.67	55.76	85.51	78.59	125.82	67.49	102.03	117.44	48.98
Fyn	0.3	1.14	1.74	3.52	2.91	3.18	2.8	2.54	2.32	1.67	0.87	0.63	2.18	0.72	0.78	1.11
Tmeff1	7.86	5.21	10.47	7.72	11.3	13.54	8.34	15.05	5.07	7.58	0.98	6.19	5.13	9.07	5.87	2.28
G3bp1	8.66	8.48	15.12	11.96	11.3	5.28	12.43	12.2	13.33	6.8	13.37	11.27	5.78	12.64	7.81	10.48
G3bp2	21.79	22.5	25.62	19.72	17.43	15.27	28.81	25.59	29.83	18.53	24.26	15.12	19.5	17.92	26.23	24.02
G6pc3	0.37	0.39	0.33	0.46	0.52	0.31	0.58	0.39	0.27	0.21	0.35	0.27	0.34	0.34	0.51	0.44
G6pdx	4.94	4.83	4.59	4.62	4.92	4.56	9.17	5.9	3.38	6.35	4.8	4.02	3.05	3.23	1.79	5.81
Commd3	2.51	2.07	0.55	2.27	1.76	1.3	1.87	1.25	1.59	1.18	0.07	1.17	1.01	0.63	1.16	0.4
Gab2	0.21	0.37	0.34	0.19	0.22	0.07	0.1	0.09	0.28	0.18	0.1	0.24	0.13	0.18	0.09	0.14
Eif5b	0.76	1.06	0.97	0.42	1.05	0.22	0.8	1.01	0.55	0.27	0.83	0.15	0.13	0.47	0.37	0.6
Csnk1a1	2.86	3.3	2.64	3.38	2.61	1.34	5.44	1.74	2.48	1.4	2.37	0.34	2.18	1.18	0.49	2.08
Nxf1	1.27	2.92	2.14	1.04	1.77	0.2	1.76	1.38	1.68	0.48	1.18	0.11	0.8	0.84	1.06	0.55
Slc25a4	19.63	15.51	13.61	19.81	14.34	16.15	25.06	10.83	8.61	3.65	22.86	7.92	13.52	1.79	6.15	7.99
Mras	2.89	1.79	2.76	2.12	2.62	2.94	1.56	1.8	0.68	0.51	1.52	1.78	0.67	2.07	2.21	0.49
Syngr3	14.57	14.64	10.11	17.76	9.02	6.6	13.18	9.94	6.31	4.93	7.74	6.72	6.69	5.48	6.93	6.72
Arl8a	35.31	38.73	31.7	20.77	36.85	16.45	31.71	33.21	26.63	5.64	29.59	21.56	16.68	10.84	14.67	6.05
Mpp6	2.19	2.47	2.08	2.47	3.22	3.08	3.05	2.89	2	1.2	1.55	0.55	1.11	0.97	2.69	1.49
Gad2	0.5	0.35	0.38	0.46	0.47	0.32	0.81	0.19	0.32	0.22	0.38	0.37	0.15	0.75	0.5	0.37
Galk1	3.12	1.99	1.42	2.5	3.99	3.59	5.26	0.36	0.72	2.39	1.81	2.09	3.03	2.61	1.97	2.45
Gamt	1.44	0.73	1.01	1.16	1.71	1.1	0.54	0.32	0.4	0.75	1.77	1.36	1	1.61	0.7	0.67
Gan	0.14	0.35	0.39	0.44	0.65	0.1	0.88	0.49	0.49	0.5	0.59	0.31	0.13	0.04	0.31	0.11
Ganab	4.11	3.71	3.81	3.55	4.44	3.27	4.59	4.41	7.38	2.3	5.15	3.68	3.04	4.31	5.77	2.6
Gap43	1171.86	927.33	922.82	860.49	894.41	1171.05	403.23	506.27	443.62	714.16	385.98	1225.31	560.17	940.23	833.65	515.17
Evi5l	0.85	1.38	0.58	1.09	1.15	0.72	1.98	0.67	0.74	0.41	0.32	0.47	0.37	0.49	0.81	0.93
Gars	12.63	12.63	8.36	12.68	10.03	12.61	12.55	12.45	14.66	15.47	14.09	10.69	10.42	10.11	8.14	13.04
Gart	1.93	2.34	1.44	1.65	1.93	1.28	2.28	2.22	2.08	2.3	2.41	1.08	2.54	1.96	1.85	2.13
Dnaja1	13.76	17.82	11.87	14.25	15.31	7.81	13.7	13.09	12.09	4.24	12.69	4.31	5.52	5.03	5.83	8.39
Lgalsl	6.54	8.92	3.68	6.85	10.32	12.04	10.67	7.17	5.75	6.42	3.09	3.85	4.09	3.75	4.54	4.25
Gm38481	1.77	2.79	3.51	4.48	6.41	3.22	7.08	3.52	2	2.26	1.27	0.5	4.4	3.13	0.96	3.21
Stx6	4.36	2.35	5.49	3.51	3.41	1.83	3.88	4.01	1.48	0.84	2.98	1.27	2.24	2.71	2.34	1.75
Ube2e2	4.97	4.48	6.22	6.55	8.1	4.8	10.34	9.52	5.57	4.58	5.1	2.1	4.18	2.68	2.42	3.19
Ndrg3	11.79	13.37	10.94	11.92	13.69	12.77	11.09	13.42	10.96	4.99	8.23	4.75	2.53	8.03	5	9.23
Scn3b	1.07	2.53	2.65	0.73	2.75	1.49	1.61	2.24	0.4	1.71	1.1	0.75	2.21	0.61	1	0.39
Hbs1l	0.45	0.36	0.3	0.29	0.45	0.09	0.51	0.36	0.19	0.06	0.28	0.21	0.15	0.22	0.21	0.19
Camsap2	0.34	0.17	0.45	0.27	0.53	0.32	0.41	0.63	0.24	0.13	0.19	0.14	0.27	0.21	0.14	0.37
Dmtn	6.59	6.64	11.85	15.73	10.04	10.71	6.14	8.5	3.45	8.81	4.82	6.94	2.86	4.89	3.26	6.37
Mast1	0.32	0.32	0.45	0.13	0.21	0.4	0.39	0.19	0.16	0.17	0.31	0.13	0.18	0.1	0.07	0.19
Sestd1	3.54	3.72	1.73	2.58	2.96	2.91	2.23	2.94	1.9	1.45	1.91	1.22	1.36	1.68	1.32	1.48
Gc	0.1	0.07	0.05	0.19	0.09	0.01	0.02	0.01	0.09	0.63	0.11	1.06	0.04	0.22	1.35	0.02
Gclc	0.19	0.35	0.34	0.28	0.82	0.21	0.12	0.15	0.33	0.49	0.25	0.25	0.15	0.2	0.22	0.33
Gcn1l1	0.63	0.41	0.66	0.8	0.42	0.2	0.51	0.74	0.53	0.57	0.78	0.23	0.21	0.29	0.43	0.3
Gcsh	3.82	2.81	4.1	2.31	2.87	3.52	1.81	2.42	0.21	3.59	2.49	6.14	3.04	5.43	5.35	0.6
Sez6	0.61	1.15	0.78	0.59	0.77	0.96	0.39	0.64	0.46	0.54	0.46	0.39	0.37	0.29	0.34	0.35
Palm2	5.98	9.18	3.75	7.05	3.62	6.71	5.06	5.14	2.46	2.69	0.94	6.36	1.9	6.36	2.85	1.87
Gdap1l1	8.69	8.05	5.56	7.86	11.27	3	7.07	7.7	5.98	3.58	9.83	3.7	3.12	4.27	4.25	5.21
Gsdme	0.55	0.47	0.65	0.88	1.08	0.66	1.1	0.79	0.78	0.46	0.45	0.05	0.49	0.26	0.38	0.51
Gdpd1	5.1	5.37	4.9	5.07	6.23	3.2	5.4	5.12	4.36	3.26	4.23	3.37	4.68	4.73	5.82	4
Elmo2	0.47	0.71	0.38	0.73	1.09	0.54	1.03	0.55	0.47	0.33	0.49	0.26	0.3	0.21	0.23	0.72
Get4	1.6	2.81	2.06	2.32	2.06	0.97	1.74	1.54	2.18	2.08	0.36	1.01	0.37	1.22	2.4	2.44
Gigyf2	0.21	0.19	0.21	0.19	0.11	0.14	0.27	0.17	0.21	0.09	0.19	0.04	0.03	0.08	0.1	0.07
Gfpt1	0.89	0.25	0.92	1.08	0.85	1.12	0.67	0.57	1.09	0.49	0.61	0.51	0.73	1.03	0.63	0.55
Gga1	1.69	0.68	0.27	0.52	0.96	0.58	1.25	0.35	1.02	0.07	0.51	0.48	0.53	1.1	0.39	0.11
Aplp1	4.97	4.4	8.28	7.83	9.52	3.37	2.9	7.25	2.89	3.24	3.39	2.63	2.86	2.28	6.68	2.65
Upf1	1.76	1.46	2.77	1.37	2.08	0.65	4.13	2.36	2.13	0.87	1.59	0.66	0.65	0.82	1.13	1.25
Gid8	0.4	1.8	1.21	0.74	0.94	1.45	1.02	1.15	0.52	0.69	1.06	0.71	0.77	1.05	0.45	0.62
Htatsf1	2.06	2.67	1.75	1.68	2.45	0.9	2.4	2.23	2.24	0.53	1.31	0.5	1.33	0.98	1.28	0.72
Git1	4.24	3.45	1.9	3.67	2.68	2.98	2.72	3.44	4.03	2.61	3.1	2.05	2.7	2.19	3.27	2.81
Lamtor5	9.91	4.38	13.12	10.79	13.01	5.22	5.93	4.5	2.42	4.32	8.11	7.68	3.32	4.14	3.09	3.75
Fkbp5	2.1	2.69	2.56	1.83	2.91	0.46	2.74	1.79	2.2	0.69	1.94	0.51	1.66	0.83	0.56	1.01
Mapk1	29.98	35.95	45.98	27.96	32.77	20.28	34.88	55.69	16.63	15.46	25.94	16.24	19.37	14.04	28.01	20.95
Glmn	0.2	0.24	0.18	0.31	0.25	0.17	0.28	0.54	0.46	0.38	0.02	0.19	0.03	0.47	0.22	0.62
Glo1	61.51	49.72	18.89	21.33	18.01	63.15	28.9	22.98	15.29	26.34	50.36	35.21	63.68	36.51	14.28	52.51
Glod4	12.94	17.21	13.17	18	19.54	18.53	16.82	13.7	14.05	11.55	17.52	13.33	12.08	16.66	13.39	11.8
Glrx3	21.01	25.08	17.34	11.65	30.99	18.93	11.52	17.46	19.95	6.25	9.8	13.7	11.03	20.09	19.64	15.09
Glrx5	16.48	16.04	18.14	2.91	12.04	36.42	20.3	7.85	9.35	8.04	8.87	24.2	13.88	8.34	14.96	7.05
Gltp	0.19	0.17	0.19	0.24	0.23	0.18	0.25	0.24	0.17	0.11	0.26	0.31	0.21	0.21	0.21	0.16
Ndufs3	4.27	3.7	3.66	3.24	4.3	3.77	6.06	3.18	2.68	1.08	2.35	2.74	1.54	2.12	3.29	1.97
Cplx1	22.82	19.53	23.76	27.1	25.22	19.33	9.32	9.67	7.31	15.77	7.22	14.75	10.07	11.8	10.87	8.92
Glyr1	1.5	3.06	2.44	2.29	3.8	0.82	3.34	6.57	3.65	1.45	3.24	0.42	5.84	1.44	4.37	3.69
Dmxl2	1.48	1.12	0.75	1.14	1.45	1.01	1.31	0.86	0.72	0.57	0.95	0.43	0.31	0.6	0.79	0.7
Syt1	39.67	36.61	29.77	39.16	45.75	31.45	45.14	37.45	18.18	19.09	28.57	20.13	19.08	17.54	26.53	20.23
Gm21596	518.23	533.21	699.57	505.81	480.86	811.86	470.2	460.44	719.64	1060.91	565.66	689.89	644.65	618.12	563.73	558.19
Gm2a	4.34	7.38	7.57	4.3	6.05	6.62	1.93	3.51	2.03	5.19	4.25	16.32	5.22	7.59	10.37	4.14
Gm3837	41.8	28.59	47.93	39.4	34.42	27.86	33.22	44.52	29.14	42.5	28.62	28.75	18.85	36.73	32.07	22.95
Psmd7	12.76	18.65	12	11.43	12.51	6.89	14.92	16.71	4.99	8.12	14.67	2.75	5.29	5.5	4.32	13.16
Gm4184	8.86	11.08	10.59	10.62	11.36	7.07	11.15	13.02	13.07	9.65	11.97	8.11	11.84	12.02	13.18	10.86
Gm4705	8.33	14.45	7.27	20.36	17.88	8.49	8.78	24.24	27.39	17.5	18.11	10.06	15.31	11.15	11.83	20.05
Rab3b	8.3	7.38	7.83	7.26	14.61	10.68	14.95	11.19	6.33	6.26	6.54	5.74	4.4	4.84	6.5	5.04
Gm5409	91.87	70.64	74.37	59.56	62.45	78.43	68.55	46.83	50.62	47.94	47.43	69.9	65.53	67.96	83.09	92
Tollip	5.24	7.93	3.06	5.91	7.45	9.46	6.71	6.8	4.03	4.3	4.52	3.57	3.36	3.56	3.53	2.39
Gm7429	26.49	38.45	46.71	27.4	20.66	14.38	25.92	28.99	41.29	13.81	39.35	14.43	21.83	19.5	23.13	39.33
Gm8210	49.25	53.04	40.76	58.43	22.24	28.31	47.69	79.31	68.03	37.64	73.08	49.31	61.39	58.08	58.18	56.58
Gm9840	26.05	25.41	25.48	15.17	27.53	9.24	36.03	32.15	40.77	24.55	11.28	9.75	7.95	28.56	26.67	44.32
Gmds	0.22	0.7	1.9	0.73	1.05	1.22	0.84	0.42	0.45	0.97	0.91	0.55	1.23	1.06	0.97	0.85
Gmfb	35.25	30.53	26.66	28.12	21.27	25.85	30.26	29.51	32.76	21.32	33.1	29.08	27.1	25.84	18.36	25.73
Gmppb	0.31	0.18	0.08	0.35	0.18	0.32	1.11	0.29	1.04	0.93	0.44	0.45	0.07	0.37	0.39	0.47
Frmd4a	1.67	2.38	1.61	2	2.84	1.44	2.13	1.83	1.66	0.45	0.9	1.27	1.21	0.91	1.31	1.15
Adgrl1	2.26	1.5	1.9	1.74	1.5	1.77	1.23	1.56	0.79	0.43	0.91	1.59	0.99	0.94	0.82	1.03
Gna13	2.74	3.11	2.82	1.76	1.55	1.37	2.64	4.01	2.83	3.59	2.69	2.26	2.14	2.3	3.2	1.73
Arhgap21	0.49	0.18	0.13	0.44	0.46	0.28	0.24	0.55	0.4	0.13	0.29	0.12	0.21	0.11	0.19	0.08
Gnai2	41.93	34.5	39.77	46.32	45.03	41.65	42.1	41.75	42.07	34.72	45.77	43.77	32.03	52	49.41	30.81
Gnai3	10.28	7.66	5.62	6.42	9.95	7.29	13.41	9.77	4.37	9.26	13.72	7.66	7.97	7.42	6.54	10.02
Omg	2.18	0.62	1.73	0.79	1.01	0.57	1.78	0.78	0.47	0.59	0.69	1.1	0.58	0.84	0.51	0.5
Rpl15	19.4	33.51	25.88	22.16	26.47	18.26	39.02	30.22	23.72	5.37	22.55	8.5	16.48	16.27	14.06	13.08
Iws1	0.48	0.89	0.4	0.45	0.66	0.42	0.23	0.74	0.16	0.2	0.61	0.26	0.13	0.03	0.47	0.52
Gnaz	11.95	9.8	7.58	15.5	7.51	11.1	9.93	15.63	6.84	9.68	11.89	9.27	9.74	7.69	9.4	12.67
Jup	1.06	1.07	0.82	2.14	2.33	1.29	1.7	1.05	1.5	0.69	0.25	0.42	0.37	0.88	1.18	1.12
Gnb2	80.19	75.92	60.8	94.73	78.78	72.1	75.36	91.14	83.13	42.99	94.84	83.52	56.44	64.77	61.58	57.69
Gnb4	8.51	5.3	3.2	7.7	5.37	4.17	6.94	4.62	9.04	4.22	13.81	4.87	5.81	10.36	4.03	3.96
Gnb5	2.63	2.8	2.41	1.89	2.24	3.78	2.62	2.56	3.18	1.71	3.62	2.56	2.3	3.78	1.37	2
Cplx2	158.86	152.59	154.69	192.16	102.86	165.98	87.23	153.18	60.81	113.69	83.33	101.09	83.2	67.22	57.14	86.07
Gng12	38.6	29.66	32.55	50.73	54.83	40.4	29.06	43.51	28.32	34.13	45.28	56.4	26.62	47.08	44.37	32.64
Gng2	880.06	887.57	756.38	915.34	619.02	1098.34	753.74	875.12	606.5	917.44	585.29	1043.58	706.11	736.27	669.81	840.01
Gng4	40.58	34.86	67.97	59.83	47.04	65.12	37.78	44.5	20.37	40.1	31.36	63.72	35.56	60.38	55.17	40.37
Gng7	34.41	21.56	24.66	38.75	22.93	20.38	10.29	12.61	18.23	26.24	30.1	15.96	14.48	11.71	19.35	22.75
Gnl1	0.92	2.51	0.88	1.31	1.09	1.09	1.02	0.93	1.55	0.74	1.16	2.04	0.75	0.98	0.43	0.78
